[2026-05-30 21:16:29 -0700] [2773] [INFO] Starting gunicorn 25.3.0
[2026-05-30 21:16:29 -0700] [2773] [INFO] Listening at: http://127.0.0.1:8851 (2773)
[2026-05-30 21:16:29 -0700] [2773] [INFO] Using worker: sync
[2026-05-30 21:16:29 -0700] [2842] [INFO] Booting worker with pid: 2842
[2026-05-30 21:16:29 -0700] [2773] [INFO] Control socket listening at /home/chl339/.gunicorn/gunicorn.ctl
[2026-05-30 21:22:51 -0700] [2773] [INFO] Handling signal: winch
[2026-05-30 21:22:51 -0700] [2773] [INFO] Handling signal: winch
[2026-05-30 21:22:51 -0700] [2773] [INFO] Handling signal: winch
[2026-05-30 21:22:51 -0700] [2773] [INFO] Handling signal: winch
[2026-05-30 21:23:12 -0700] [2773] [INFO] Handling signal: winch
[2026-05-30 21:23:12 -0700] [2773] [INFO] Handling signal: winch
[2026-05-30 21:23:12 -0700] [2773] [INFO] Handling signal: winch
[2026-05-30 21:23:12 -0700] [2773] [INFO] Handling signal: winch
[2026-05-30 21:23:12 -0700] [2773] [INFO] Handling signal: winch
[2026-05-30 21:23:12 -0700] [2773] [INFO] Handling signal: winch
[2026-05-30 21:23:12 -0700] [2773] [INFO] Handling signal: winch
[2026-05-30 21:23:12 -0700] [2773] [INFO] Handling signal: winch
[2026-05-30 21:23:12 -0700] [2773] [INFO] Handling signal: winch
[2026-05-30 21:23:12 -0700] [2773] [INFO] Handling signal: winch
[2026-05-30 21:23:16 -0700] [2773] [INFO] Handling signal: winch
[2026-05-30 21:23:18 -0700] [2773] [INFO] Handling signal: winch
[2026-05-30 21:23:22 -0700] [2773] [INFO] Handling signal: winch
[2026-05-30 21:23:22 -0700] [2773] [INFO] Handling signal: winch
[2026-05-30 21:23:24 -0700] [2773] [INFO] Handling signal: winch
[2026-05-30 21:23:24 -0700] [2773] [INFO] Handling signal: winch
[2026-05-30 21:23:24 -0700] [2773] [INFO] Handling signal: winch
[2026-05-30 21:23:24 -0700] [2773] [INFO] Handling signal: winch
[2026-05-30 21:23:24 -0700] [2773] [INFO] Handling signal: winch
[2026-05-30 21:23:24 -0700] [2773] [INFO] Handling signal: winch
[2026-05-30 21:23:24 -0700] [2773] [INFO] Handling signal: winch
[2026-05-30 21:23:25 -0700] [2773] [INFO] Handling signal: winch
[2026-05-30 22:04:37 -0700] [2773] [INFO] Handling signal: winch
[2026-05-30 22:04:37 -0700] [2773] [INFO] Handling signal: winch
[2026-05-30 22:04:37 -0700] [2773] [INFO] Handling signal: winch
[2026-05-30 22:04:37 -0700] [2773] [INFO] Handling signal: winch
[2026-05-30 22:04:37 -0700] [2773] [INFO] Handling signal: winch
[2026-05-30 22:04:37 -0700] [2773] [INFO] Handling signal: winch
[2026-05-30 22:04:38 -0700] [2773] [INFO] Handling signal: winch
[2026-05-30 22:04:38 -0700] [2773] [INFO] Handling signal: winch
[2026-05-30 22:04:38 -0700] [2773] [INFO] Handling signal: winch
[2026-05-30 22:04:38 -0700] [2773] [INFO] Handling signal: winch
[2026-05-30 22:04:38 -0700] [2773] [INFO] Handling signal: winch
[2026-05-30 22:04:38 -0700] [2773] [INFO] Handling signal: winch
[2026-05-30 22:04:38 -0700] [2773] [INFO] Handling signal: winch
[2026-05-30 22:07:21 -0700] [2773] [INFO] Handling signal: winch
[2026-05-30 22:07:21 -0700] [2773] [INFO] Handling signal: winch
[2026-05-30 22:07:21 -0700] [2773] [INFO] Handling signal: winch
[2026-05-30 22:07:21 -0700] [2773] [INFO] Handling signal: winch
[2026-05-30 22:07:21 -0700] [2773] [INFO] Handling signal: winch
[2026-05-30 22:07:21 -0700] [2773] [INFO] Handling signal: winch
[2026-05-30 22:11:54 -0700] [2773] [INFO] Handling signal: winch
[2026-05-30 22:11:54 -0700] [2773] [INFO] Handling signal: winch
[2026-05-30 22:11:54 -0700] [2773] [INFO] Handling signal: winch
[2026-05-30 22:11:54 -0700] [2773] [INFO] Handling signal: winch
[2026-05-30 22:11:54 -0700] [2773] [INFO] Handling signal: winch
[2026-05-30 22:11:55 -0700] [2773] [INFO] Handling signal: winch
[2026-05-30 22:11:55 -0700] [2773] [INFO] Handling signal: winch
[2026-05-30 22:11:56 -0700] [2773] [INFO] Handling signal: winch
[2026-05-30 22:11:57 -0700] [2773] [INFO] Handling signal: winch
[2026-05-30 22:11:57 -0700] [2773] [INFO] Handling signal: winch
[2026-05-30 22:12:00 -0700] [2773] [INFO] Handling signal: winch
[2026-05-30 22:12:01 -0700] [2773] [INFO] Handling signal: winch
[2026-05-30 22:12:01 -0700] [2773] [INFO] Handling signal: winch
[2026-05-30 22:12:01 -0700] [2773] [INFO] Handling signal: winch
[2026-05-30 22:12:01 -0700] [2773] [INFO] Handling signal: winch
[2026-05-30 22:12:01 -0700] [2773] [INFO] Handling signal: winch
[2026-05-30 22:12:01 -0700] [2773] [INFO] Handling signal: winch
[2026-05-30 22:12:01 -0700] [2773] [INFO] Handling signal: winch
[2026-05-30 22:12:02 -0700] [2773] [INFO] Handling signal: winch
[2026-05-30 22:12:02 -0700] [2773] [INFO] Handling signal: winch
[2026-05-30 22:12:02 -0700] [2773] [INFO] Handling signal: winch
[2026-05-30 22:12:02 -0700] [2773] [INFO] Handling signal: winch
[2026-05-30 22:12:02 -0700] [2773] [INFO] Handling signal: winch
[2026-05-30 22:12:02 -0700] [2773] [INFO] Handling signal: winch
[2026-05-30 22:12:02 -0700] [2773] [INFO] Handling signal: winch
[2026-05-30 22:12:02 -0700] [2773] [INFO] Handling signal: winch
[2026-05-30 22:12:02 -0700] [2773] [INFO] Handling signal: winch
[2026-05-30 22:12:02 -0700] [2773] [INFO] Handling signal: winch
[2026-05-30 22:12:02 -0700] [2773] [INFO] Handling signal: winch
[2026-05-30 22:12:02 -0700] [2773] [INFO] Handling signal: winch
[2026-05-30 22:12:02 -0700] [2773] [INFO] Handling signal: winch
